section,item,status,details
summary,local_app,verified,"Web app runs locally at http://127.0.0.1:8000"
summary,model_provider,verified,"Local Ollama model in use: llama3.2:1b"
summary,external_api_key,verified,"No external API key is required for current operation"
summary,offline_knowledge,verified,"Offline knowledge is seeded from data/security_kb.json"
summary,persistence,verified,"Conversations, notes, and knowledge metadata are stored in assistant.db"
benefit,local_control,verified,"Data remains local to the machine and repo files"
benefit,cost_reduction,verified,"Normal operation no longer depends on recurring hosted-model API usage"
benefit,offline_fallback,verified,"If the local model is unavailable, the app can answer from offline retrieval"
benefit,defensive_tooling,verified,"DNS, reverse DNS, HTTP header review, security header audit, TLS inspection, notes, and offline knowledge search are available"
knowledge,topic_1,verified,"SQL injection prevention"
knowledge,topic_2,verified,"Cross-site scripting defense"
knowledge,topic_3,verified,"CSRF mitigation"
knowledge,topic_4,verified,"Security headers baseline"
knowledge,topic_5,verified,"Password storage"
knowledge,topic_6,verified,"Phishing red flags"
knowledge,topic_7,verified,"Brute-force indicators"
knowledge,topic_8,verified,"TLS review checklist"
verification,server_compile,verified,"server.py compiles successfully"
verification,bulk_audit_compile,verified,"bulk_audit.py compiles successfully"
verification,ollama_install,verified,"Ollama is installed and running"
verification,ollama_model,verified,"The local model llama3.2:1b is downloaded and available"
verification,api_state,verified,"/api/state reports loaded knowledge documents"
verification,api_chat,verified,"/api/chat returns responses using the local model"
bulk_audit,input_file,verified,"authorized_sites.csv"
bulk_audit,output_file,verified,"evaluation_report.csv"
bulk_audit,runner,verified,"bulk_audit.py"
bulk_audit,dry_run,partial,"Dry run wrote the CSV structure successfully"
bulk_audit,network_limit,noted,"Sample target produced an environment-specific DNS resolution error; real evaluation should be run from the intended network context against authorized targets"
recommendation,priority_1,recommended,"Use local model chat for general security assistance"
recommendation,priority_2,recommended,"Use offline knowledge search for grounded reference answers"
recommendation,priority_3,recommended,"Use defensive network tools for public target inspection"
recommendation,priority_4,recommended,"Use bulk CSV evaluation for authorized site reviews"
