input_url,final_url,severity,threat_score,protection_score,status,tls_days_remaining,findings,report_path,error
https://approved-sim-0001.example,https://approved-sim-0001.example,High,58,42,301,177,Wildcard CORS policy observed. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing Content-Security-Policy header. | Cookie flags need review.,/synthetic/reports/approved-sim-0001.example.md,
https://approved-sim-0002.example,https://approved-sim-0002.example,Medium,54,46,404,201,Missing HSTS header. | Redirect observed. | Missing Content-Security-Policy header.,/synthetic/reports/approved-sim-0002.example.md,
https://approved-sim-0003.example,https://approved-sim-0003.example,Low,29,71,403,333,Server header exposed: nginx,/synthetic/reports/approved-sim-0003.example.md,
https://approved-sim-0004.example,https://approved-sim-0004.example,Medium,32,68,200,254,Wildcard CORS policy observed. | Cookie flags need review.,/synthetic/reports/approved-sim-0004.example.md,
https://approved-sim-0005.example,https://approved-sim-0005.example,Medium,32,68,200,102,Missing X-Content-Type-Options header. | Missing Referrer-Policy header. | Server header exposed: apache,/synthetic/reports/approved-sim-0005.example.md,
https://approved-sim-0006.example,https://approved-sim-0006.example,Critical,78,22,403,345,Technology banner exposed. | Wildcard CORS policy observed. | Cookie flags need review. | Missing Referrer-Policy header. | Server header exposed: apache | Missing X-Content-Type-Options header.,/synthetic/reports/approved-sim-0006.example.md,
https://approved-sim-0007.example,https://approved-sim-0007.example,High,62,38,200,112,Server header exposed: apache | Server header exposed: iis | Cookie flags need review. | Missing X-Content-Type-Options header. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Redirect observed.,/synthetic/reports/approved-sim-0007.example.md,
https://approved-sim-0008.example,https://approved-sim-0008.example,High,63,37,200,362,Server header exposed: iis | Server header exposed: apache | Wildcard CORS policy observed. | Missing Content-Security-Policy header. | Server header exposed: nginx,/synthetic/reports/approved-sim-0008.example.md,
https://approved-sim-0009.example,https://approved-sim-0009.example,Low,24,76,403,135,Redirect observed.,/synthetic/reports/approved-sim-0009.example.md,
https://approved-sim-0010.example,https://approved-sim-0010.example,Medium,49,51,200,35,Server header exposed: apache | Missing X-Content-Type-Options header. | Redirect observed. | Wildcard CORS policy observed.,/synthetic/reports/approved-sim-0010.example.md,
https://approved-sim-0011.example,https://approved-sim-0011.example,High,60,40,200,316,Missing X-Content-Type-Options header. | Server header exposed: nginx | Missing Referrer-Policy header. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing HSTS header.,/synthetic/reports/approved-sim-0011.example.md,
https://approved-sim-0012.example,https://approved-sim-0012.example,Critical,78,22,500,2,Server header exposed: apache | Cookie flags need review. | Missing X-Content-Type-Options header.,/synthetic/reports/approved-sim-0012.example.md,
https://approved-sim-0013.example,https://approved-sim-0013.example,Low,8,92,200,148,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0013.example.md,
https://approved-sim-0014.example,https://approved-sim-0014.example,Medium,38,62,500,111,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0014.example.md,
https://approved-sim-0015.example,https://approved-sim-0015.example,Medium,38,62,302,330,Missing Content-Security-Policy header. | Missing HSTS header.,/synthetic/reports/approved-sim-0015.example.md,
https://approved-sim-0016.example,https://approved-sim-0016.example,Low,20,80,404,265,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0016.example.md,
https://approved-sim-0017.example,https://approved-sim-0017.example,Critical,87,13,404,263,Missing HSTS header. | Missing X-Content-Type-Options header. | Technology banner exposed. | Server header exposed: iis | Server header exposed: nginx | Missing Content-Security-Policy header.,/synthetic/reports/approved-sim-0017.example.md,
https://approved-sim-0018.example,https://approved-sim-0018.example,Medium,34,66,200,98,Server header exposed: iis | Missing HSTS header.,/synthetic/reports/approved-sim-0018.example.md,
https://approved-sim-0019.example,https://approved-sim-0019.example,High,59,41,200,57,Missing X-Content-Type-Options header. | Missing HSTS header. | Server header exposed: apache | Missing Referrer-Policy header. | Cookie flags need review.,/synthetic/reports/approved-sim-0019.example.md,
https://approved-sim-0020.example,https://approved-sim-0020.example,Low,17,83,200,272,Server header exposed: nginx,/synthetic/reports/approved-sim-0020.example.md,
https://approved-sim-0021.example,https://approved-sim-0021.example,High,72,28,200,0,Missing Content-Security-Policy header. | Wildcard CORS policy observed. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Server header exposed: nginx,/synthetic/reports/approved-sim-0021.example.md,
https://approved-sim-0022.example,https://approved-sim-0022.example,High,72,28,200,212,Missing HSTS header. | Server header exposed: nginx | Server header exposed: apache | Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing X-Content-Type-Options header. | Server header exposed: iis,/synthetic/reports/approved-sim-0022.example.md,
https://approved-sim-0023.example,https://approved-sim-0023.example,Medium,43,57,200,59,Missing HSTS header. | Server header exposed: apache | Technology banner exposed.,/synthetic/reports/approved-sim-0023.example.md,
https://approved-sim-0024.example,https://approved-sim-0024.example,High,70,30,200,13,Server header exposed: nginx | Server header exposed: apache | Missing X-Content-Type-Options header. | Wildcard CORS policy observed. | Cookie flags need review.,/synthetic/reports/approved-sim-0024.example.md,
https://approved-sim-0025.example,https://approved-sim-0025.example,Medium,43,57,200,241,Technology banner exposed. | Cookie flags need review. | Missing Content-Security-Policy header.,/synthetic/reports/approved-sim-0025.example.md,
https://approved-sim-0026.example,https://approved-sim-0026.example,Low,8,92,200,243,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0026.example.md,
https://approved-sim-0027.example,https://approved-sim-0027.example,Medium,44,56,200,113,Missing Referrer-Policy header. | Server header exposed: iis | Missing X-Content-Type-Options header. | Cookie flags need review.,/synthetic/reports/approved-sim-0027.example.md,
https://approved-sim-0028.example,https://approved-sim-0028.example,Low,24,76,301,85,Missing HSTS header.,/synthetic/reports/approved-sim-0028.example.md,
https://approved-sim-0029.example,https://approved-sim-0029.example,Low,20,80,404,233,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0029.example.md,
https://approved-sim-0030.example,https://approved-sim-0030.example,High,61,39,301,237,Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing HSTS header. | Missing Content-Security-Policy header. | Redirect observed. | Missing Referrer-Policy header.,/synthetic/reports/approved-sim-0030.example.md,
https://approved-sim-0031.example,https://approved-sim-0031.example,Low,12,88,200,59,Redirect observed.,/synthetic/reports/approved-sim-0031.example.md,
https://approved-sim-0032.example,https://approved-sim-0032.example,High,73,27,403,84,Missing Referrer-Policy header. | Missing Content-Security-Policy header. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Server header exposed: nginx | Cookie flags need review.,/synthetic/reports/approved-sim-0032.example.md,
https://approved-sim-0033.example,https://approved-sim-0033.example,Low,15,85,200,189,Missing Referrer-Policy header.,/synthetic/reports/approved-sim-0033.example.md,
https://approved-sim-0034.example,https://approved-sim-0034.example,Medium,31,69,200,326,Neither X-Frame-Options nor CSP frame-ancestors is present. | Cookie flags need review.,/synthetic/reports/approved-sim-0034.example.md,
https://approved-sim-0035.example,https://approved-sim-0035.example,Medium,41,59,200,200,Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing Referrer-Policy header. | Missing Content-Security-Policy header.,/synthetic/reports/approved-sim-0035.example.md,
https://approved-sim-0036.example,https://approved-sim-0036.example,Medium,48,52,302,300,Missing Content-Security-Policy header. | Technology banner exposed. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Redirect observed.,/synthetic/reports/approved-sim-0036.example.md,
https://approved-sim-0037.example,https://approved-sim-0037.example,Medium,38,62,500,102,No obvious missing baseline headers were detected.,/synthetic/reports/approved-sim-0037.example.md,
https://approved-sim-0038.example,https://approved-sim-0038.example,Low,28,72,403,113,Missing X-Content-Type-Options header.,/synthetic/reports/approved-sim-0038.example.md,
https://approved-sim-0039.example,https://approved-sim-0039.example,High,70,30,200,187,Technology banner exposed. | Server header exposed: nginx | Missing Content-Security-Policy header. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Wildcard CORS policy observed. | Redirect observed.,/synthetic/reports/approved-sim-0039.example.md,
https://approved-sim-0040.example,https://approved-sim-0040.example,Medium,33,67,403,362,Redirect observed. | Server header exposed: apache,/synthetic/reports/approved-sim-0040.example.md,
https://approved-sim-0041.example,https://approved-sim-0041.example,High,58,42,200,335,Server header exposed: nginx | Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing Content-Security-Policy header. | Cookie flags need review. | Redirect observed.,/synthetic/reports/approved-sim-0041.example.md,
https://approved-sim-0042.example,https://approved-sim-0042.example,High,71,29,200,270,Redirect observed. | Missing X-Content-Type-Options header. | Cookie flags need review. | Missing HSTS header. | Server header exposed: iis | Missing Content-Security-Policy header.,/synthetic/reports/approved-sim-0042.example.md,
https://approved-sim-0043.example,https://approved-sim-0043.example,High,61,39,200,108,Server header exposed: apache | Missing Referrer-Policy header. | Technology banner exposed. | Redirect observed. | Server header exposed: iis | Wildcard CORS policy observed.,/synthetic/reports/approved-sim-0043.example.md,
https://approved-sim-0044.example,https://approved-sim-0044.example,High,68,32,204,315,Missing HSTS header. | Missing Referrer-Policy header. | Technology banner exposed. | Server header exposed: iis | Server header exposed: nginx | Missing X-Content-Type-Options header.,/synthetic/reports/approved-sim-0044.example.md,
https://approved-sim-0045.example,https://approved-sim-0045.example,High,61,39,204,271,Cookie flags need review. | Missing Referrer-Policy header. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Redirect observed. | Technology banner exposed. | Server header exposed: apache,/synthetic/reports/approved-sim-0045.example.md,
https://approved-sim-0046.example,https://approved-sim-0046.example,Low,15,85,200,107,Missing Referrer-Policy header.,/synthetic/reports/approved-sim-0046.example.md,
https://approved-sim-0047.example,https://approved-sim-0047.example,High,67,33,301,242,Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing HSTS header. | Missing Content-Security-Policy header. | Server header exposed: apache | Missing X-Content-Type-Options header.,/synthetic/reports/approved-sim-0047.example.md,
https://approved-sim-0048.example,https://approved-sim-0048.example,High,61,39,200,296,Wildcard CORS policy observed. | Technology banner exposed. | Server header exposed: nginx | Server header exposed: apache | Neither X-Frame-Options nor CSP frame-ancestors is present.,/synthetic/reports/approved-sim-0048.example.md,
https://approved-sim-0049.example,https://approved-sim-0049.example,High,71,29,200,46,Missing HSTS header. | Missing Content-Security-Policy header. | Wildcard CORS policy observed. | Neither X-Frame-Options nor CSP frame-ancestors is present. | Missing X-Content-Type-Options header.,/synthetic/reports/approved-sim-0049.example.md,
